Api_time,10,818,817,842,842,845,793,845,"0,00%","11,8","7,7"
Api_quotes,10,884,829,1027,1027,1032,742,1032,"0,00%","9,4","1383,2"
Sign_in,10,560,525,696,696,736,421,736,"0,00%","10,3","19,0"
Assets,10,1854,1834,2149,2149,2241,1523,2241,"0,00%","4,5","35,0"
Trading,10,697,439,1365,1365,1366,381,1366,"0,00%","6,4","125,7"
Profile_edit,10,731,990,1110,1110,1142,174,1142,"0,00%","6,9","12,8"
Deals list,10,482,196,978,978,1010,137,1010,"0,00%","4,5","51,3"
Deal,10,1021,907,1828,1828,1912,237,1912,"100,00%","3,1","62,2"
TOTAL,80,881,817,1800,1916,2149,137,2241,"12,50%","9,1","240,7"
